"Month","Year","averagestormflow","day","date"
3,1981,27625.7484781979,"01",1981-03-01
3,1982,32067.7419354839,"01",1982-03-01
3,1983,17048.896434635,"01",1983-03-01
3,1984,16875.175315568,"01",1984-03-01
3,1985,28315.7481760198,"01",1985-03-01
3,1986,34302.6762246117,"01",1986-03-01
3,1987,20769.744160178,"01",1987-03-01
3,1988,17875.4838709677,"01",1988-03-01
3,1989,25391.9296294128,"01",1989-03-01
3,1990,8274.86095661846,"01",1990-03-01
3,1991,27376.9892473118,"01",1991-03-01
3,1992,16995.0664136622,"01",1992-03-01
3,1993,42893.0875576037,"01",1993-03-01
3,1994,36685.5606758833,"01",1994-03-01
3,1995,10254.0532048597,"01",1995-03-01
3,1996,33683.8709677419,"01",1996-03-01
3,1997,30515.2970369289,"01",1997-03-01
3,1998,21911.5474520804,"01",1998-03-01
3,1999,22081.1059907834,"01",1999-03-01
3,2000,13276.4705882353,"01",2000-03-01
3,2001,17632.1812596006,"01",2001-03-01
3,2002,25628.5856079404,"01",2002-03-01
3,2003,21657.3149905123,"01",2003-03-01
3,2004,34268.0265654649,"01",2004-03-01
3,2005,28092.0439143399,"01",2005-03-01
3,2006,14620.6451612903,"01",2006-03-01
3,2007,57466.7338709677,"01",2007-03-01
3,2008,29251.6129032258,"01",2008-03-01
3,2009,20005.3056027165,"01",2009-03-01
3,2010,49255.0607287449,"01",2010-03-01
3,2011,94653.8569424965,"01",2011-03-01
3,2012,26446.3133640553,"01",2012-03-01
3,2013,12995.1612903226,"01",2013-03-01
3,2014,21827.5115207373,"01",2014-03-01
3,2015,60387.3487903226,"01",2015-03-01
3,2016,14914.5894428152,"01",2016-03-01
3,2017,19587.5576036866,"01",2017-03-01
3,2018,16120.9677419355,"01",2018-03-01
3,2019,12886.7511520737,"01",2019-03-01
3,2020,32135.3225806452,"01",2020-03-01
3,2021,25470.0731905665,"01",2021-03-01
4,1968,6007.39393939394,"01",1968-04-01
4,1969,18621.0833333333,"01",1969-04-01
4,1970,39867.5438596491,"01",1970-04-01
4,1971,3850.48148148148,"01",1971-04-01
4,1972,41332.8787878788,"01",1972-04-01
4,1973,26342.6666666667,"01",1973-04-01
4,1974,26130.2222222222,"01",1974-04-01
4,1975,18023.7719298246,"01",1975-04-01
4,1976,8177.09275362319,"01",1976-04-01
4,1977,19037.3333333333,"01",1977-04-01
4,1978,10967.2398190045,"01",1978-04-01
4,1979,16864.7777777778,"01",1979-04-01
4,1980,25602.4338624339,"01",1980-04-01
4,1981,24563.0409356725,"01",1981-04-01
4,1982,9758,"01",1982-04-01
4,1983,23741.9210526316,"01",1983-04-01
4,1984,18129.8074389379,"01",1984-04-01
4,1985,28763.2432432432,"01",1985-04-01
4,1986,19608.1311196254,"01",1986-04-01
4,1987,49791.1111111111,"01",1987-04-01
4,1988,10238,"01",1988-04-01
4,1989,27973.4646962233,"01",1989-04-01
4,1990,16686.6666666667,"01",1990-04-01
4,1991,13547.8787878788,"01",1991-04-01
4,1992,19031.7647058824,"01",1992-04-01
4,1993,34315.8602150538,"01",1993-04-01
4,1994,27845.1587301587,"01",1994-04-01
4,1995,9986.60714285714,"01",1995-04-01
