"Month","Year","average_waterlevel","day","date"
3,1982,62.3538577777778,"01",1982-03-01
3,1983,63.6938133333333,"01",1983-03-01
3,1984,65.03744,"01",1984-03-01
3,1985,65.8854838709677,"01",1985-03-01
3,1986,67.208064516129,"01",1986-03-01
3,1987,67.8209677419355,"01",1987-03-01
3,1988,68.2654838709677,"01",1988-03-01
3,1989,72.8203605313093,"01",1989-03-01
3,1990,68.86,"01",1990-03-01
3,1991,64.3554838709677,"01",1991-03-01
3,1992,66.1496774193548,"01",1992-03-01
3,1993,72.6493548387097,"01",1993-03-01
3,1994,66.2338709677419,"01",1994-03-01
3,1995,62.7096774193548,"01",1995-03-01
3,1996,67.0210887096774,"01",1996-03-01
3,1997,53.3245161290323,"01",1997-03-01
3,1998,54.3758064516129,"01",1998-03-01
3,1999,52.2067741935484,"01",1999-03-01
3,2000,66.9361290322581,"01",2000-03-01
3,2001,75.0825806451613,"01",2001-03-01
3,2002,78.6425806451613,"01",2002-03-01
3,2003,78.9870967741935,"01",2003-03-01
3,2004,63.1509677419355,"01",2004-03-01
3,2005,47.2645161290323,"01",2005-03-01
3,2006,51.5090322580645,"01",2006-03-01
3,2007,65.7409677419355,"01",2007-03-01
3,2008,70.8445161290323,"01",2008-03-01
3,2009,70.0274193548387,"01",2009-03-01
3,2010,73.4332258064516,"01",2010-03-01
3,2011,72.3554838709677,"01",2011-03-01
3,2012,65.7545161290323,"01",2012-03-01
3,2013,68.2916129032258,"01",2013-03-01
3,2014,73.3,"01",2014-03-01
3,2015,74.7283870967742,"01",2015-03-01
3,2016,72.7848387096774,"01",2016-03-01
3,2017,76.9629032258065,"01",2017-03-01
3,2018,74.741935483871,"01",2018-03-01
3,2019,55.9880566483084,"01",2019-03-01
3,2020,52.9090322580645,"01",2020-03-01
3,2021,59.9138709677419,"01",2021-03-01
4,1968,78.367,"01",1968-04-01
4,1969,75.8503333333333,"01",1969-04-01
4,1970,79.376,"01",1970-04-01
4,1971,72.0163333333333,"01",1971-04-01
4,1972,69.0857142857143,"01",1972-04-01
