"AgencyCd","SiteNo","LithologyID","LithologyDescription","LithologyControlledConcept","Lang","Uom","LithologyDepthFrom","LithologyDepthFromUnit","LithologyDepthTo","LithologyDepthToUnit"
"NCDWR","P54H1","NCDWR.P54H1.LITH.1","Regolith","","eng","ft","0","feet","0","feet"
"NCDWR","P54H1","NCDWR.P54H1.LITH.2","Basement Rock","","eng","ft","0","feet","250","feet"
